nome_job,data_dia,data_hora,mes
ZFIP_EXT_104_153622,2025-04-01,08:50:00,Abril
ZFIP_EXT_341_210675,2025-04-01,08:51:00,Abril
ZFIP_EXT_341_33465,2025-04-01,08:50:00,Abril
ZFIP_PFM_EXJ_237_050955,2025-04-01,08:50:00,Abril
ZFIP_PFM_EXT_001_14052X,2025-04-01,08:56:00,Abril
ZFIP_PFM_EXT_001_64823,2025-04-01,08:52:00,Abril
ZFIP_PFM_EXT_237_001076,2025-04-01,08:58:00,Abril
ZFIP_PFM_EXT_422_088842,2025-04-01,08:55:00,Abril
ZFIP_PFM_HB_EXT_001_66745,2025-04-01,09:05:00,Abril
ZFIP_PFM_HB_EXT_237_33594,2025-04-01,09:00:00,Abril
ZFIP_PROC_EXT_BB_INSTITUTO,2025-04-01,08:55:00,Abril
ZFIP_PROC_EXT_BRADESCO_PROFARMA,2025-04-01,08:30:00,Abril
ZFIP_VAR_001_059641,2025-04-01,08:55:00,Abril
ZFIP_VAR_001_2204452,2025-04-01,08:55:00,Abril
ZFIP_VAR_001_2220441X,2025-04-01,08:55:00,Abril
ZFIP_VAR_001_63673,2025-04-01,08:55:00,Abril
ZFIP_VAR_001_65463,2025-04-01,08:50:00,Abril
ZFIP_VAR_033_00322,2025-04-01,08:49:00,Abril
ZFIP_VAR_033_58741,2025-04-01,08:49:00,Abril
ZFIP_VAR_104_17841,2025-04-01,08:50:00,Abril
ZFIP_VAR_104_30156,2025-04-01,08:51:00,Abril
ZFIP_VAR_104_30164,2025-04-01,08:51:00,Abril
ZFIP_VAR_237_199753,2025-04-01,08:53:00,Abril
ZFIP_VAR_246_25402,2025-04-01,08:57:00,Abril
ZFIP_VAR_246_263902,2025-04-01,08:57:00,Abril
ZFIP_VAR_341_016045,2025-04-01,08:58:00,Abril
ZFIP_VAR_341_178388,2025-04-01,08:58:00,Abril
ZFIP_VAR_341_31096,2025-04-01,08:59:00,Abril
ZFIP_VAR_341_312067,2025-04-01,09:00:00,Abril
ZFIP_VAR_341_379801,2025-04-01,09:01:00,Abril
ZFIP_VAR_422_435631017,2025-04-01,09:02:00,Abril
ZFIP_VAR_422_435631028,2025-04-01,09:02:00,Abril
ZMM_AJUSTE_PRODUCAO,2025-04-01,08:00:11,Abril
ZMMI_ATUALIZA_CONVERT_EAN,2025-04-01,09:00:00,Abril
ZMMR_APURA_BENEFICIO_ES,2025-04-01,05:15:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-01,13:30:01,Abril
ZMMR_CALCULO_BENEFICIO_GO,2025-04-01,05:00:00,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-01,17:28:33,Abril
ZMMR_NOTAS_XML,2025-04-01,04:20:01,Abril
ZSD_DEV_INFO_NFD_CLIENTE_EMAIL,2025-04-01,16:00:02,Abril
ZSD_INTERF_DEV_BIS_H,2025-04-01,03:00:00,Abril
ZFIR_PERDA30_BIS_V1,2025-04-26,05:00:09,Abril
ZMM_CORRIGE_NOTAS_FOPAG_MES,2025-04-26,20:00:01,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-26,04:20:33,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-26,09:24:41,Abril
ZMMR_LISTA_DOC_PRORROGADOS_DDE,2025-04-26,08:00:08,Abril
ZMMR_NOTAS_XML,2025-04-26,04:20:07,Abril
ZMMR_NOTAS_XML_DIAS_50,2025-04-26,04:40:01,Abril
ZSD_ENVIA_EMAIL_CDA,2025-04-26,22:00:00,Abril
EXT655144617301116042025063,2025-04-16,07:07:03,Abril
ME_MIGO_MIRO,2025-04-16,17:00:00,Abril
ME_MIGO_MIRO,2025-04-16,17:05:00,Abril
ME_MIGO_MIRO,2025-04-16,17:10:00,Abril
ME_MIGO_MIRO,2025-04-16,17:15:00,Abril
ME_MIGO_MIRO,2025-04-16,17:20:00,Abril
ME_MIGO_MIRO,2025-04-16,17:25:00,Abril
ME_MIGO_MIRO,2025-04-16,17:30:00,Abril
ME_MIGO_MIRO,2025-04-16,17:35:00,Abril
ME_MIGO_MIRO,2025-04-16,17:40:00,Abril
ME_MIGO_MIRO,2025-04-16,17:45:00,Abril
ME_MIGO_MIRO,2025-04-16,17:50:00,Abril
ME_MIGO_MIRO,2025-04-16,17:55:00,Abril
ME_MIGO_MIRO,2025-04-16,18:00:01,Abril
